,GAMEID,TEAM_HOME,TEAM_AWAY,TEAM_ELO_BEFORE_HOME,TEAM_ELO_BEFORE_AWAY,TEAM_ELO_AFTER_HOME,TEAM_ELO_AFTER_AWAY,ODDS_HOME,PROBS_HOME,PROBS_AWAY
35,201311020DAL,DAL,MEM,1500.5405744333993,1498.1773658803058,1509.075750499565,1489.6421898141402,1.721503941477166,0.6325561081284988,0.3674438918715011
36,201311020MIL,MIL,TOR,1504.369721775689,1499.1323858000985,1493.6170187390746,1509.8850888367128,1.7502228116079317,0.6363930966686495,0.36360690333135043
37,201311020UTA,UTA,HOU,1489.107449490126,1515.7564059401363,1476.321566611651,1528.5422888186115,1.456725118461405,0.5929540539617721,0.40704594603822786
38,201311020POR,POR,SAS,1508.1392857088094,1515.559219981709,1516.0864134448614,1507.612092245657,1.6272345782974824,0.6193716357646197,0.3806283642353803
39,201311020GSW,GSW,SAC,1508.1256574195886,1491.2023048831995,1515.691281238198,1483.6366810645902,1.8720109353530001,0.6518119107101904,0.3481880892898096
40,201311030DET,DET,BOS,1503.7487763852719,1483.6628691594804,1510.7769820321353,1476.634663512617,1.9064032427503765,0.6559321207425837,0.3440678792574164
41,201311030MIA,MIA,WAS,1500.6470857696982,1481.6516553769818,1507.7103225304152,1474.5884186162648,1.8944736799990964,0.6545140462288426,0.34548595377115754
42,201311030ORL,ORL,BRK,1499.628675017101,1498.4214108890744,1512.1236467255035,1485.9264391806719,1.7100868220424228,0.6310081315969196,0.36899186840308035
43,201311030OKC,OKC,PHO,1495.2163225153379,1512.9372529605287,1501.9529162181184,1506.2006592577482,1.5335490591730114,0.6052967688234089,0.39470323117659106
44,201311030NYK,NYK,MIN,1503.0387581568286,1516.861744223779,1491.2809573786296,1528.619545001978,1.568348362545028,0.6106447183788262,0.3893552816211738
45,201311030LAL,LAL,ATL,1482.484715520467,1499.3843520869796,1486.3402361317212,1495.5288314757254,1.5408164577413073,0.6064257231358761,0.393574276864124
46,201311040CLE,CLE,MIN,1489.384597985807,1528.619545001978,1492.9285782155907,1525.0755647721942,1.3549168146961934,0.5753565502783972,0.4246434497216028
47,201311040PHI,PHI,GSW,1518.8346357554772,1515.691281238198,1498.0252540893978,1536.5006629042773,1.7292523967832825,0.6335992958443097,0.36640070415569026
48,201311040MEM,MEM,BOS,1489.6421898141402,1476.634663512617,1495.5257821754171,1470.75107115134,1.8302854014781467,0.6466787414874348,0.35332125851256535
49,201311040LAC,LAC,HOU,1512.4453245985821,1528.5422888186115,1525.0155931008146,1515.9720203163793,1.5479523557426877,0.6075279831091991,0.39247201689080086
50,201311050TOR,TOR,MIA,1509.8850888367128,1507.7103225304152,1497.554157829239,1520.041253537889,1.7196375340203052,0.6323039421647673,0.3676960578352328
51,201311050BRK,BRK,UTA,1485.9264391806719,1476.321566611651,1495.9103122477109,1466.337693544612,1.7947839675948372,0.6421905909025986,0.3578094090974015
52,201311050DET,DET,IND,1510.7769820321353,1525.566749513718,1499.8419388635243,1536.5017926823289,1.5596443680265732,0.6093207273278448,0.3906792726721552
53,201311050NYK,NYK,CHA,1491.2809573786296,1483.4167380092024,1482.2177163186086,1492.4799790692234,1.7768900212062675,0.6398849099664362,0.36011509003356384
54,201311050NOP,NOP,PHO,1492.5682370984173,1506.2006592577482,1483.2222316894365,1515.546664666729,1.5700697439551807,0.6109055007740525,0.3890944992259474
55,201311050DAL,DAL,LAL,1509.075750499565,1486.3402361317212,1519.652849494227,1475.7631371370592,1.935703279817319,0.6593661195683825,0.3406338804316175
56,201311050DEN,DEN,SAS,1479.1971826918611,1507.612092245657,1468.712878105649,1518.0963968318692,1.441991585424633,0.5904981794496593,0.4095018205503407
57,201311050POR,POR,HOU,1516.0864134448614,1515.9720203163793,1499.133229082924,1532.9252046783167,1.699362313813611,0.6295421348654684,0.3704578651345317
58,201311050SAC,SAC,ATL,1483.6366810645902,1495.5288314757254,1475.0862072567152,1504.0793052836004,1.5858774505898237,0.613284071226227,0.38671592877377303
59,201311060CHA,CHA,TOR,1492.4799790692234,1497.554157829239,1496.142421966752,1493.8917149317106,1.6493565636914225,0.6225498622176125,0.37745013778238745
60,201311060IND,IND,CHI,1536.5017926823289,1490.792544972345,1545.3076609062753,1481.9866767483986,2.2093937405688737,0.6884146724163712,0.31158532758362867
61,201311060ORL,ORL,LAC,1512.1236467255035,1525.0155931008146,1519.244114265195,1517.895125561123,1.5767764832654718,0.6119182216640188,0.3880817783359811
62,201311060PHI,PHI,WAS,1498.0252540893978,1474.5884186162648,1480.7162917907401,1491.8973809149225,1.9435337589794734,0.66027228430813,0.33972771569187005
