,GAMEID,TEAM,ELO,DATE,WHERE_PLAYED,SEASON,D_RTG,GAME_NO,OPP_SCORE,O_RTG,SCORE
2414,201404140CHI,CHI,1590.1506097336137,2014-04-14,Home,2014,105.8,81.0,95.0,120.3,108.0
2415,201404140CHI,ORL,1348.243558471454,2014-04-14,Away,2014,120.3,81.0,108.0,105.8,95.0
2416,201404140HOU,HOU,1621.519627537617,2014-04-14,Home,2014,106.7,81.0,98.0,113.2,104.0
2417,201404140HOU,SAS,1711.3414317747352,2014-04-14,Away,2014,113.2,81.0,104.0,106.7,98.0
2418,201404140NOP,NOP,1413.793489208338,2014-04-14,Home,2014,100.0,81.0,89.0,113.4,101.0
2419,201404140NOP,OKC,1640.885429798376,2014-04-14,Away,2014,113.4,81.0,101.0,100.0,89.0
2420,201404140UTA,UTA,1327.7372607473262,2014-04-14,Home,2014,124.8,81.0,119.0,109.1,104.0
2421,201404140UTA,LAL,1342.5160596959283,2014-04-14,Away,2014,109.1,81.0,104.0,124.8,119.0
2422,201404140PHO,PHO,1578.823494410638,2014-04-14,Home,2014,110.1,81.0,97.0,103.3,91.0
2423,201404140PHO,MEM,1592.933264101897,2014-04-14,Away,2014,103.3,81.0,91.0,110.1,97.0
2424,201404140GSW,GSW,1599.667625590883,2014-04-14,Home,2014,114.9,81.0,120.0,124.5,130.0
2425,201404140GSW,MIN,1536.9530269531974,2014-04-14,Away,2014,124.5,81.0,130.0,114.9,120.0
2426,201404150BRK,BRK,1543.454360306031,2014-04-15,Home,2014,119.1,81.0,109.0,107.0,98.0
2427,201404150BRK,NYK,1515.863466553832,2014-04-15,Away,2014,107.0,81.0,98.0,119.1,109.0
2428,201404150LAC,LAC,1672.3274298015008,2014-04-15,Home,2014,104.4,81.0,105.0,116.3,117.0
2429,201404150LAC,DEN,1461.8874156941613,2014-04-15,Away,2014,116.3,81.0,117.0,104.4,105.0
2430,201404160CHA,CHA,1551.9998371852516,2014-04-16,Home,2014,91.9,82.0,86.0,97.2,91.0
2431,201404160CHA,CHI,1592.7710156417158,2014-04-16,Away,2014,97.2,82.0,91.0,91.9,86.0
2432,201404160ORL,ORL,1345.6231525633518,2014-04-16,Home,2014,114.3,82.0,101.0,97.3,86.0
2433,201404160ORL,IND,1512.6357231793681,2014-04-16,Away,2014,97.3,82.0,86.0,114.3,101.0
2434,201404160BOS,BOS,1347.849748305899,2014-04-16,Home,2014,122.6,82.0,118.0,106.0,102.0
2435,201404160BOS,WAS,1542.000722189197,2014-04-16,Away,2014,106.0,82.0,102.0,122.6,118.0
2436,201404160CLE,CLE,1435.3224618158424,2014-04-16,Home,2014,90.1,82.0,85.0,120.9,114.0
2437,201404160CLE,BRK,1528.4648306438974,2014-04-16,Away,2014,120.9,82.0,114.0,90.1,85.0
2438,201404160MEM,MEM,1602.2657486095104,2014-04-16,Home,2014,113.8,82.0,105.0,114.8,106.0
2439,201404160MEM,DAL,1599.208575088139,2014-04-16,Away,2014,114.8,82.0,106.0,113.8,105.0
2440,201404160MIA,MIA,1590.8292510410683,2014-04-16,Home,2014,109.8,82.0,100.0,95.5,87.0
2441,201404160MIA,PHI,1228.8481129608253,2014-04-16,Away,2014,95.5,82.0,87.0,109.8,100.0
2442,201404160MIL,MIL,1273.5285127897737,2014-04-16,Home,2014,118.2,82.0,111.0,109.7,103.0
2443,201404160MIL,ATL,1471.683286444962,2014-04-16,Away,2014,109.7,82.0,103.0,118.2,111.0
2444,201404160MIN,MIN,1531.2021705139575,2014-04-16,Home,2014,117.4,82.0,136.0,112.2,130.0
2445,201404160MIN,UTA,1311.5214436619974,2014-04-16,Away,2014,112.2,82.0,130.0,117.4,136.0
2446,201404160NOP,NOP,1433.2791837773307,2014-04-16,Home,2014,113.5,82.0,100.0,119.1,105.0
2447,201404160NOP,HOU,1629.7987971222492,2014-04-16,Away,2014,119.1,82.0,105.0,113.5,100.0
2448,201404160NYK,NYK,1530.8529962159657,2014-04-16,Home,2014,97.1,82.0,92.0,100.3,95.0
2449,201404160NYK,TOR,1587.3866170218967,2014-04-16,Away,2014,100.3,82.0,95.0,97.1,92.0
2450,201404160OKC,OKC,1621.3997352293834,2014-04-16,Home,2014,117.6,82.0,111.0,118.7,112.0
2451,201404160OKC,DET,1354.590272751773,2014-04-16,Away,2014,118.7,82.0,112.0,117.6,111.0
2452,201404160SAS,SAS,1703.062262190103,2014-04-16,Home,2014,112.6,82.0,113.0,99.6,100.0
2453,201404160SAS,LAL,1358.7318767812571,2014-04-16,Away,2014,99.6,82.0,100.0,112.6,113.0
2454,201404160DEN,DEN,1458.9157383846969,2014-04-16,Home,2014,109.3,82.0,116.0,105.6,112.0
2455,201404160DEN,GSW,1605.418482030123,2014-04-16,Away,2014,105.6,82.0,112.0,109.3,116.0
2456,201404160POR,POR,1589.9475403407407,2014-04-16,Home,2014,109.4,82.0,104.0,115.7,110.0
2457,201404160POR,LAC,1675.2991071109652,2014-04-16,Away,2014,115.7,82.0,110.0,109.4,104.0
2458,201404160SAC,SAC,1416.071788505735,2014-04-16,Home,2014,104.6,82.0,104.0,99.6,99.0
2459,201404160SAC,PHO,1569.4910099030246,2014-04-16,Away,2014,99.6,82.0,99.0,104.6,104.0
2460,201410280NOP,NOP,1459.3011435197793,2014-10-28,Home,2015,88.2,1.0,84.0,106.1,101.0
2461,201410280NOP,ORL,1378.453714218415,2014-10-28,Away,2015,106.1,1.0,101.0,88.2,84.0
2462,201410280SAS,SAS,1630.0834104943622,2014-10-28,Home,2015,116.1,1.0,100.0,117.3,101.0
2463,201410280SAS,DAL,1573.439716048914,2014-10-28,Away,2015,117.3,1.0,101.0,116.1,100.0
2464,201410280LAL,LAL,1418.7621937341578,2014-10-28,Home,2015,118.8,1.0,108.0,99.0,90.0
2465,201410280LAL,HOU,1590.5073421549057,2014-10-28,Away,2015,99.0,1.0,90.0,118.8,108.0
2466,201410290CHO,CHA,1544.90717011461,2014-10-29,Home,2015,104.8,1.0,106.0,106.8,108.0
2467,201410290CHO,MIL,1327.2606559884196,2014-10-29,Away,2015,106.8,1.0,108.0,104.8,106.0
2468,201410290IND,IND,1517.7404425886252,2014-10-29,Home,2015,96.7,1.0,91.0,109.5,103.0
2469,201410290IND,PHI,1321.9904974614094,2014-10-29,Away,2015,109.5,1.0,103.0,96.7,91.0
2470,201410290TOR,TOR,1562.845126299286,2014-10-29,Home,2015,109.1,1.0,102.0,116.6,109.0
2471,201410290TOR,ATL,1484.1481934376322,2014-10-29,Away,2015,116.6,1.0,109.0,109.1,102.0
2472,201410290MIA,MIA,1545.2675255400106,2014-10-29,Home,2015,104.3,1.0,95.0,117.5,107.0
2473,201410290MIA,WAS,1539.2683982674255,2014-10-29,Away,2015,117.5,1.0,107.0,104.3,95.0
2474,201410290BOS,BOS,1380.6194546038964,2014-10-29,Home,2015,105.7,1.0,105.0,121.8,121.0
2475,201410290BOS,BRK,1505.2535674996896,2014-10-29,Away,2015,121.8,1.0,121.0,105.7,105.0
2476,201410290NYK,NYK,1528.3345836291107,2014-10-29,Home,2015,119.6,1.0,104.0,92.0,80.0
2477,201410290NYK,CHI,1566.1709695056159,2014-10-29,Away,2015,92.0,1.0,80.0,119.6,104.0
2478,201410290MEM,MEM,1580.166026724323,2014-10-29,Home,2015,105.5,1.0,101.0,109.7,105.0
2479,201410290MEM,MIN,1512.585572117624,2014-10-29,Away,2015,109.7,1.0,105.0,105.5,101.0
2480,201410290DEN,DEN,1466.8517449179287,2014-10-29,Home,2015,82.0,1.0,79.0,92.3,89.0
2481,201410290DEN,DET,1391.6306188369228,2014-10-29,Away,2015,92.3,1.0,89.0,82.0,79.0
2482,201410290UTA,UTA,1371.9571385143422,2014-10-29,Home,2015,118.5,1.0,104.0,106.0,93.0
2483,201410290UTA,HOU,1600.877380438237,2014-10-29,Away,2015,106.0,2.0,93.0,118.5,104.0
2484,201410290PHO,PHO,1557.2468092701597,2014-10-29,Home,2015,105.7,1.0,99.0,127.0,119.0
2485,201410290PHO,LAL,1408.3921554508265,2014-10-29,Away,2015,127.0,2.0,119.0,105.7,99.0
2486,201410290SAC,SAC,1434.42528953641,2014-10-29,Home,2015,93.3,1.0,95.0,75.6,77.0
2487,201410290SAC,GSW,1583.8989203931862,2014-10-29,Away,2015,75.6,1.0,77.0,93.3,95.0
2488,201410290POR,POR,1574.816125555547,2014-10-29,Home,2015,100.2,1.0,89.0,119.4,106.0
2489,201410290POR,OKC,1592.8618871489443,2014-10-29,Away,2015,119.4,1.0,106.0,100.2,89.0
2490,201410300ORL,ORL,1371.0265707744325,2014-10-30,Home,2015,109.7,2.0,105.0,102.4,98.0
2491,201410300ORL,WAS,1530.8702880080623,2014-10-30,Away,2015,102.4,2.0,98.0,109.7,105.0
2492,201410300CLE,CLE,1470.086901845115,2014-10-30,Home,2015,114.3,1.0,95.0,108.3,90.0
2493,201410300CLE,NYK,1507.4643450176454,2014-10-30,Away,2015,108.3,2.0,90.0,114.3,95.0
2494,201410300MIN,MIN,1509.1627091332427,2014-10-30,Home,2015,100.8,2.0,91.0,107.4,97.0
2495,201410300MIN,DET,1386.220381364371,2014-10-30,Away,2015,107.4,2.0,97.0,100.8,91.0
2496,201410300DAL,DAL,1571.1332614301693,2014-10-30,Home,2015,113.9,2.0,102.0,134.0,120.0
2497,201410300DAL,UTA,1366.1391834055041,2014-10-30,Away,2015,134.0,2.0,120.0,113.9,102.0
2498,201410300LAC,LAC,1626.6188600332325,2014-10-30,Home,2015,99.0,1.0,90.0,102.3,93.0
2499,201410300LAC,OKC,1581.11642217307,2014-10-30,Away,2015,102.3,2.0,93.0,99.0,90.0
2500,201410310IND,IND,1520.9647570084185,2014-10-31,Home,2015,111.4,2.0,97.0,102.2,89.0
2501,201410310IND,MEM,1583.5888897087043,2014-10-31,Away,2015,102.2,2.0,89.0,111.4,97.0
2502,201410310CHI,CHI,1587.0412081170812,2014-10-31,Home,2015,112.8,2.0,114.0,106.9,108.0
2503,201410310CHI,CLE,1462.188344402732,2014-10-31,Away,2015,106.9,2.0,108.0,112.8,114.0
2504,201410310MIL,MIL,1326.0754564257884,2014-10-31,Home,2015,83.8,2.0,81.0,96.2,93.0
2505,201410310MIL,PHI,1318.7661830416162,2014-10-31,Away,2015,96.2,2.0,93.0,83.8,81.0
2506,201410310PHO,PHO,1563.100868363475,2014-10-31,Home,2015,96.2,2.0,89.0,101.6,94.0
2507,201410310PHO,SAS,1632.389865113107,2014-10-31,Away,2015,101.6,2.0,94.0,96.2,89.0
2508,201410310SAC,SAC,1423.0515785040295,2014-10-31,Home,2015,106.1,2.0,94.0,116.3,103.0
2509,201410310SAC,POR,1586.5615905314212,2014-10-31,Away,2015,116.3,2.0,103.0,106.1,94.0
2510,201410310LAL,LAL,1402.5380963575112,2014-10-31,Home,2015,122.0,3.0,118.0,114.7,111.0
2511,201410310LAL,LAC,1629.9831573644515,2014-10-31,Away,2015,114.7,2.0,111.0,122.0,118.0
2512,201411010CHO,CHA,1546.092369677241,2014-11-01,Home,2015,76.3,2.0,71.0,74.1,69.0
2513,201411010CHO,MEM,1592.964333888457,2014-11-01,Away,2015,74.1,3.0,69.0,76.3,71.0
2514,201411010NOP,NOP,1466.7282869637618,2014-11-01,Home,2015,112.3,2.0,109.0,107.2,104.0
2515,201411010NOP,DAL,1575.1426944070852,2014-11-01,Away,2015,107.2,3.0,104.0,112.3,109.0
2516,201411010ORL,ORL,1365.0058938656312,2014-11-01,Home,2015,115.5,3.0,108.0,101.6,95.0
2517,201411010ORL,TOR,1567.1565293792112,2014-11-01,Away,2015,101.6,2.0,95.0,115.5,108.0
2518,201411010PHI,PHI,1310.4171112193374,2014-11-01,Home,2015,115.3,3.0,114.0,97.1,96.0
2519,201411010PHI,MIA,1553.6656357993738,2014-11-01,Away,2015,97.1,2.0,96.0,115.3,114.0
2520,201411010WAS,WAS,1536.8909649168636,2014-11-01,Home,2015,98.3,3.0,97.0,109.5,108.0
2521,201411010WAS,MIL,1334.4245282480672,2014-11-01,Away,2015,109.5,3.0,108.0,98.3,97.0
2522,201411010ATL,ATL,1479.836790357707,2014-11-01,Home,2015,99.2,2.0,92.0,110.0,102.0
2523,201411010ATL,IND,1511.5893128286657,2014-11-01,Away,2015,110.0,3.0,102.0,99.2,92.0
2524,201411010DET,DET,1383.0535891172174,2014-11-01,Home,2015,117.6,3.0,102.0,103.7,90.0
2525,201411010DET,BRK,1488.17554665888,2014-11-01,Away,2015,103.7,2.0,90.0,117.6,102.0
2526,201411010HOU,HOU,1606.695335547075,2014-11-01,Home,2015,92.2,3.0,90.0,106.6,104.0
2527,201411010HOU,BOS,1397.697475444706,2014-11-01,Away,2015,106.6,2.0,104.0,92.2,90.0
2528,201411010MIN,MIN,1512.3295013803963,2014-11-01,Home,2015,113.7,3.0,106.0,112.6,105.0
2529,201411010MIN,CHI,1573.6910004543413,2014-11-01,Away,2015,112.6,3.0,105.0,113.7,106.0
2530,201411010OKC,OKC,1577.7521248418511,2014-11-01,Home,2015,95.2,3.0,91.0,106.7,102.0
2531,201411010OKC,DEN,1472.2619823904806,2014-11-01,Away,2015,106.7,2.0,102.0,95.2,91.0
2532,201411010UTA,UTA,1362.1297504285883,2014-11-01,Home,2015,93.2,3.0,91.0,120.8,118.0
2533,201411010UTA,PHO,1570.0649071839302,2014-11-01,Away,2015,120.8,3.0,118.0,93.2,91.0
2534,201411010GSW,GSW,1595.2726314255667,2014-11-01,Home,2015,103.2,2.0,104.0,126.0,127.0
2535,201411010GSW,LAL,1398.0626822518445,2014-11-01,Away,2015,126.0,4.0,127.0,103.2,104.0
2536,201411020LAC,LAC,1634.4585714701182,2014-11-02,Home,2015,108.2,3.0,98.0,101.5,92.0
2537,201411020LAC,SAC,1436.5232282498907,2014-11-02,Away,2015,101.5,3.0,92.0,108.2,98.0
2538,201411020MIA,MIA,1561.1908240702544,2014-11-02,Home,2015,112.0,3.0,102.0,117.5,107.0
2539,201411020MIA,TOR,1574.4674929658743,2014-11-02,Away,2015,117.5,3.0,107.0,112.0,102.0
2540,201411020NYK,NYK,1515.3629024600286,2014-11-02,Home,2015,107.8,3.0,93.0,111.3,96.0
2541,201411020NYK,CHA,1540.8335965969914,2014-11-02,Away,2015,111.3,3.0,96.0,107.8,93.0
2542,201411020POR,POR,1573.08994078556,2014-11-02,Home,2015,96.9,3.0,95.0,91.8,90.0
2543,201411020POR,GSW,1600.2389836760965,2014-11-02,Away,2015,91.8,3.0,90.0,96.9,95.0
2544,201411030PHI,PHI,1302.8919229484568,2014-11-03,Home,2015,111.9,4.0,104.0,100.1,93.0
2545,201411030PHI,HOU,1610.0065129422965,2014-11-03,Away,2015,100.1,4.0,93.0,111.9,104.0
2546,201411030BRK,BRK,1498.5039040441152,2014-11-03,Home,2015,94.4,3.0,85.0,128.8,116.0
2547,201411030BRK,OKC,1582.6851418079086,2014-11-03,Away,2015,128.8,4.0,116.0,94.4,85.0
2548,201411030MEM,MEM,1598.2231069687068,2014-11-03,Home,2015,86.8,4.0,81.0,99.7,93.0
2549,201411030MEM,NOP,1460.5582757995455,2014-11-03,Away,2015,99.7,3.0,93.0,86.8,81.0
2550,201411030DAL,DAL,1581.3127055713014,2014-11-03,Home,2015,114.3,4.0,113.0,119.4,118.0
2551,201411030DAL,BOS,1394.3862980494846,2014-11-03,Away,2015,119.4,3.0,118.0,114.3,113.0
2552,201411030DEN,DEN,1467.3289654244231,2014-11-03,Home,2015,109.5,3.0,110.0,104.5,105.0
2553,201411030DEN,SAC,1451.9848440390851,2014-11-03,Away,2015,104.5,4.0,105.0,109.5,110.0
2554,201411030LAC,LAC,1618.9969556809237,2014-11-03,Home,2015,108.7,4.0,101.0,115.2,107.0
2555,201411030LAC,UTA,1394.2535498687237,2014-11-03,Away,2015,115.2,4.0,107.0,108.7,101.0
2556,201411040IND,IND,1502.7694572406872,2014-11-04,Home,2015,100.0,4.0,87.0,93.1,81.0
2557,201411040IND,MIL,1331.4847807215297,2014-11-04,Away,2015,93.1,4.0,81.0,100.0,87.0
2558,201411040MIA,MIA,1566.7191001895558,2014-11-04,Home,2015,127.2,4.0,108.0,107.2,91.0
2559,201411040MIA,HOU,1613.9795798460948,2014-11-04,Away,2015,107.2,5.0,91.0,127.2,108.0
2560,201411040NYK,NYK,1519.990173592076,2014-11-04,Home,2015,110.8,4.0,98.0,93.9,83.0
2561,201411040NYK,WAS,1539.8307124434011,2014-11-04,Away,2015,93.9,4.0,83.0,110.8,98.0
2562,201411040TOR,TOR,1568.939216846573,2014-11-04,Home,2015,98.4,4.0,88.0,111.9,100.0
2563,201411040TOR,OKC,1559.2149073831874,2014-11-04,Away,2015,111.9,5.0,100.0,98.4,88.0
2564,201411040CHI,CHI,1577.8826596972071,2014-11-04,Home,2015,101.7,4.0,90.0,110.7,98.0
2565,201411040CHI,ORL,1357.694930278968,2014-11-04,Away,2015,110.7,4.0,98.0,101.7,90.0
2566,201411040NOP,NOP,1456.1459224253663,2014-11-04,Home,2015,102.1,4.0,91.0,112.2,100.0
2567,201411040NOP,CHA,1536.206325464944,2014-11-04,Away,2015,112.2,4.0,100.0,102.1,91.0
2568,201411040POR,POR,1564.9312426400713,2014-11-04,Home,2015,93.0,4.0,82.0,114.6,101.0
2569,201411040POR,CLE,1475.5385520654718,2014-11-04,Away,2015,114.6,3.0,101.0,93.0,82.0
2570,201411040LAL,LAL,1393.0963300013148,2014-11-04,Home,2015,112.5,5.0,112.0,106.5,106.0
2571,201411040LAL,PHO,1537.9411077437949,2014-11-04,Away,2015,106.5,4.0,106.0,112.5,112.0
2572,201411050CHO,CHA,1526.1636501699609,2014-11-05,Home,2015,98.6,5.0,89.0,106.3,96.0
2573,201411050CHO,MIA,1550.7977771442588,2014-11-05,Away,2015,106.3,5.0,96.0,98.6,89.0
2574,201411050PHI,PHI,1298.9188560446585,2014-11-05,Home,2015,90.8,5.0,91.0,88.8,89.0
2575,201411050PHI,ORL,1355.4994255176082,2014-11-05,Away,2015,88.8,5.0,89.0,90.8,91.0
2576,201411050BOS,BOS,1392.339180215675,2014-11-05,Home,2015,116.3,4.0,110.0,113.2,107.0
2577,201411050BOS,TOR,1577.198383366299,2014-11-05,Away,2015,113.2,5.0,107.0,116.3,110.0
2578,201411050BRK,BRK,1521.9741384688364,2014-11-05,Home,2015,101.2,4.0,98.0,94.0,91.0
2579,201411050BRK,MIN,1508.1378421375305,2014-11-05,Away,2015,94.0,4.0,91.0,101.2,98.0
2580,201411050DET,DET,1372.7252317319821,2014-11-05,Home,2015,107.6,4.0,95.0,111.0,98.0
2581,201411050DET,NYK,1504.0234191352883,2014-11-05,Away,2015,111.0,5.0,98.0,107.6,95.0
2582,201411050MIL,MIL,1346.1781164056358,2014-11-05,Home,2015,103.2,5.0,95.0,93.4,86.0
2583,201411050MIL,CHI,1580.078164458567,2014-11-05,Away,2015,93.4,5.0,86.0,103.2,95.0
2584,201411050WAS,WAS,1555.7974669001887,2014-11-05,Home,2015,92.5,5.0,94.0,94.5,96.0
2585,201411050WAS,IND,1488.076121556581,2014-11-05,Away,2015,94.5,5.0,96.0,92.5,94.0
2586,201411050SAS,SAS,1625.4258262926517,2014-11-05,Home,2015,97.3,3.0,92.0,99.5,94.0
2587,201411050SAS,ATL,1488.6566459456856,2014-11-05,Away,2015,99.5,3.0,94.0,97.3,92.0
2588,201411050PHO,PHO,1543.8248903057902,2014-11-05,Home,2015,111.3,5.0,102.0,99.3,91.0
2589,201411050PHO,MEM,1602.635460342886,2014-11-05,Away,2015,99.3,5.0,91.0,111.3,102.0
2590,201411050UTA,UTA,1392.4309854929895,2014-11-05,Home,2015,114.9,5.0,100.0,117.2,102.0
2591,201411050UTA,CLE,1467.8568599370644,2014-11-05,Away,2015,117.2,4.0,102.0,114.9,100.0
2592,201411050SAC,SAC,1461.243508562323,2014-11-05,Home,2015,109.6,5.0,109.0,131.7,131.0
2593,201411050SAC,DEN,1458.0703009011852,2014-11-05,Away,2015,131.7,4.0,131.0,109.6,109.0
2594,201411050GSW,GSW,1608.3976818215851,2014-11-05,Home,2015,103.3,4.0,104.0,120.2,121.0
2595,201411050GSW,LAC,1620.819520056658,2014-11-05,Away,2015,120.2,5.0,121.0,103.3,104.0
2596,201411060HOU,HOU,1629.9009028913918,2014-11-06,Home,2015,83.8,6.0,81.0,101.4,98.0
2597,201411060HOU,SAS,1627.2666854707616,2014-11-06,Away,2015,101.4,4.0,98.0,83.8,81.0
2598,201411060POR,POR,1572.6129347684787,2014-11-06,Home,2015,95.3,5.0,87.0,118.3,108.0
2599,201411060POR,DAL,1583.359823405111,2014-11-06,Away,2015,118.3,5.0,108.0,95.3,87.0
2600,201411070CHO,CHA,1533.1021023539447,2014-11-07,Home,2015,104.6,6.0,119.0,107.3,122.0
2601,201411070CHO,ATL,1486.8157867675757,2014-11-07,Away,2015,107.3,4.0,122.0,104.6,119.0
2602,201411070ORL,ORL,1360.591678438619,2014-11-07,Home,2015,98.1,6.0,103.0,106.6,112.0
2603,201411070ORL,MIN,1519.1588742680901,2014-11-07,Away,2015,106.6,5.0,112.0,98.1,103.0
2604,201411070PHI,PHI,1293.8266031236476,2014-11-07,Home,2015,124.9,6.0,118.0,121.7,115.0
2605,201411070PHI,CHI,1585.103401427188,2014-11-07,Away,2015,121.7,6.0,115.0,124.9,118.0
2606,201411070BOS,BOS,1388.7403933747494,2014-11-07,Home,2015,108.3,5.0,98.0,111.7,101.0
2607,201411070BOS,IND,1485.4628240017614,2014-11-07,Away,2015,111.7,6.0,101.0,108.3,98.0
2608,201411070BRK,BRK,1510.9531063382767,2014-11-07,Home,2015,105.3,5.0,99.0,117.0,110.0
2609,201411070BRK,NYK,1497.0730810964694,2014-11-07,Away,2015,117.0,6.0,110.0,105.3,99.0
2610,201411070DET,DET,1379.675569770801,2014-11-07,Home,2015,106.6,5.0,95.0,109.9,98.0
2611,201411070DET,MIL,1341.152879437015,2014-11-07,Away,2015,109.9,6.0,98.0,106.6,95.0
2612,201411070TOR,TOR,1580.7971702072246,2014-11-07,Home,2015,90.0,6.0,84.0,110.3,103.0
2613,201411070TOR,WAS,1558.4107644550083,2014-11-07,Away,2015,110.3,6.0,103.0,90.0,84.0
2614,201411070OKC,OKC,1550.9557408634614,2014-11-07,Home,2015,104.5,6.0,91.0,102.2,89.0
2615,201411070OKC,MEM,1614.1536076125915,2014-11-07,Away,2015,102.2,6.0,89.0,104.5,91.0
2616,201411070PHO,PHO,1532.3067430360848,2014-11-07,Home,2015,105.4,6.0,114.0,103.6,112.0
2617,201411070PHO,SAC,1474.0411123921822,2014-11-07,Away,2015,103.6,6.0,112.0,105.4,114.0
2618,201411070UTA,UTA,1397.3280147030234,2014-11-07,Home,2015,120.6,6.0,105.0,94.2,82.0
2619,201411070UTA,DAL,1570.191768841769,2014-11-07,Away,2015,94.2,6.0,82.0,120.6,105.0
2620,201411070DEN,DEN,1445.272697071326,2014-11-07,Home,2015,113.8,5.0,110.0,104.5,101.0
2621,201411070DEN,CLE,1462.9598307270305,2014-11-07,Away,2015,104.5,5.0,101.0,113.8,110.0
2622,201411080LAC,LAC,1609.3555825637864,2014-11-08,Home,2015,109.4,6.0,102.0,113.7,106.0
2623,201411080LAC,POR,1585.7809893318206,2014-11-08,Away,2015,113.7,6.0,106.0,109.4,102.0
2624,201411080IND,IND,1479.3209793656827,2014-11-08,Home,2015,103.7,7.0,97.0,96.2,90.0
2625,201411080IND,WAS,1547.8167395287226,2014-11-08,Away,2015,96.2,7.0,90.0,103.7,97.0
2626,201411080ATL,ATL,1483.4639555675249,2014-11-08,Home,2015,107.9,5.0,96.0,115.8,103.0
2627,201411080ATL,NYK,1489.4024115247737,2014-11-08,Away,2015,115.8,7.0,103.0,107.9,96.0
2628,201411080MIA,MIA,1543.859324960275,2014-11-08,Home,2015,98.8,6.0,92.0,109.6,102.0
2629,201411080MIA,MIN,1505.9007285176513,2014-11-08,Away,2015,109.6,6.0,102.0,98.8,92.0
2630,201411080CHI,CHI,1587.2889526774218,2014-11-08,Home,2015,113.7,7.0,106.0,108.4,101.0
2631,201411080CHI,BOS,1394.8822380108281,2014-11-08,Away,2015,108.4,6.0,101.0,113.7,106.0
2632,201411080HOU,HOU,1640.6319180833116,2014-11-08,Home,2015,97.2,7.0,98.0,86.3,87.0
2633,201411080HOU,GSW,1619.8616193144567,2014-11-08,Away,2015,86.3,5.0,87.0,97.2,98.0
2634,201411080MIL,MIL,1337.6761341261658,2014-11-08,Home,2015,104.1,7.0,92.0,105.3,93.0
2635,201411080MIL,MEM,1619.13334753075,2014-11-08,Away,2015,105.3,7.0,93.0,104.1,92.0
2636,201411080SAS,SAS,1616.5356702788417,2014-11-08,Home,2015,108.7,5.0,100.0,107.6,99.0
2637,201411080SAS,NOP,1466.1885977203494,2014-11-08,Away,2015,107.6,5.0,99.0,108.7,100.0
2638,201411090BRK,BRK,1518.6237759099724,2014-11-09,Home,2015,104.8,6.0,96.0,113.6,104.0
2639,201411090BRK,ORL,1373.849824189058,2014-11-09,Away,2015,113.6,7.0,104.0,104.8,96.0
2640,201411090DET,DET,1383.1523150816502,2014-11-09,Home,2015,107.2,6.0,97.0,106.1,96.0
2641,201411090DET,UTA,1385.0839326047083,2014-11-09,Away,2015,106.1,7.0,96.0,107.2,97.0
2642,201411090OKC,OKC,1545.976000945303,2014-11-09,Home,2015,104.6,7.0,93.0,113.6,101.0
2643,201411090OKC,SAC,1481.1739979831366,2014-11-09,Away,2015,113.6,7.0,101.0,104.6,93.0
2644,201411090TOR,TOR,1591.3911951335103,2014-11-09,Home,2015,88.2,7.0,88.0,120.3,120.0
2645,201411090TOR,PHI,1291.6410518734137,2014-11-09,Away,2015,120.3,7.0,120.0,88.2,88.0
2646,201411090DAL,DAL,1582.4358509400843,2014-11-09,Home,2015,117.1,7.0,105.0,107.0,96.0
2647,201411090DAL,MIA,1550.3300723325408,2014-11-09,Away,2015,107.0,7.0,96.0,117.1,105.0
2648,201411090PHO,PHO,1525.1738574451304,2014-11-09,Home,2015,93.7,7.0,95.0,105.5,107.0
2649,201411090PHO,GSW,1634.5710193675586,2014-11-09,Away,2015,105.5,6.0,107.0,93.7,95.0
2650,201411090POR,POR,1581.5656130763518,2014-11-09,Home,2015,102.1,7.0,100.0,118.5,116.0
2651,201411090POR,DEN,1433.6525035046984,2014-11-09,Away,2015,118.5,6.0,116.0,102.1,100.0
2652,201411090LAL,LAL,1387.2125474393195,2014-11-09,Home,2015,102.6,6.0,92.0,119.3,107.0
2653,201411090LAL,CHA,1536.4539335539955,2014-11-09,Away,2015,119.3,7.0,107.0,102.6,92.0
2654,201411100CLE,CLE,1474.5800242936582,2014-11-10,Home,2015,125.0,6.0,111.0,132.9,118.0
2655,201411100CLE,NOP,1473.552702557355,2014-11-10,Away,2015,132.9,6.0,118.0,125.0,111.0
2656,201411100IND,IND,1470.806516202646,2014-11-10,Home,2015,98.6,8.0,86.0,111.2,97.0
2657,201411100IND,UTA,1390.1429829253477,2014-11-10,Away,2015,111.2,8.0,97.0,98.6,86.0
2658,201411100NYK,NYK,1483.0015218236706,2014-11-10,Home,2015,104.0,8.0,91.0,97.1,85.0
2659,201411100NYK,ATL,1489.864845268628,2014-11-10,Away,2015,97.1,6.0,85.0,104.0,91.0
2660,201411100CHI,CHI,1573.3626593592392,2014-11-10,Home,2015,94.9,8.0,91.0,106.4,102.0
2661,201411100CHI,DET,1378.0932647610107,2014-11-10,Away,2015,106.4,7.0,102.0,94.9,91.0
2662,201411100LAC,LAC,1613.570958819255,2014-11-10,Home,2015,100.9,7.0,89.0,96.3,85.0
2663,201411100LAC,SAS,1609.1715654418363,2014-11-10,Away,2015,96.3,6.0,85.0,100.9,89.0
