,TEAM_HOME,TEAM_AWAY,FG_HOME,FG_AWAY,FGA_HOME,FGA_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG(3)_HOME,FG(3)_AWAY,FGA(3)_HOME,FGA(3)_AWAY,FG_PCT(3)_HOME,FG_PCT(3)_AWAY,FT_HOME,FT_AWAY,FTA_HOME,FTA_AWAY,FT_PCT_HOME,FT_PCT_AWAY,ORB_HOME,ORB_AWAY,DRB_HOME,DRB_AWAY,TRB_HOME,TRB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PTS_HOME,PTS_AWAY,TS_PCT_HOME,TS_PCT_AWAY,EFG_PCT_HOME,EFG_PCT_AWAY,3PA_R_HOME,3PA_R_AWAY,FT_R_HOME,FT_R_AWAY,ORB_PCT_HOME,ORB_PCT_AWAY,DRB_PCT_HOME,DRB_PCT_AWAY,TRB_PCT_HOME,TRB_PCT_AWAY,AST_PCT_HOME,AST_PCT_AWAY,STL_PCT_HOME,STL_PCT_AWAY,BLK_PCT_HOME,BLK_PCT_AWAY,TOV_PCT_HOME,TOV_PCT_AWAY,O_RTG_HOME,O_RTG_AWAY,D_RTG_HOME,D_RTG_AWAY,WINS_RECORD_HOME,WINS_RECORD_AWAY,LOSSES_RECORD_HOME,LOSSES_RECORD_AWAY,WIN_PCT_HOME,WIN_PCT_AWAY,GAME_NO_HOME,GAME_NO_AWAY,WIN_HOME,WIN_AWAY,LOSS_HOME,LOSS_AWAY,FG(3)_MISSED_HOME,FG(3)_MISSED_AWAY,FG_MISSED_HOME,FG_MISSED_AWAY,BLOCKED_ATTEMPTS_HOME,BLOCKED_ATTEMPTS_AWAY,TOV_FORCED_HOME,TOV_FORCED_AWAY,FG(2)_HOME,FG(2)_AWAY,FGA(2)_HOME,FGA(2)_AWAY,FG(2)_MISSED_HOME,FG(2)_MISSED_AWAY,GAMEID,DATE,SEASON,OTs
10,SAS,MIN,41,37,89,85,0.461,0.435,8,8,21,19,0.381,0.421,17,17,19,23,0.895,0.739,12,11,38,31,50,42,22,23,8,7,11,4,11,13,18,16,107,99,0.55,0.52,0.506,0.482,0.236,0.224,0.213,0.271,27.9,22.4,77.6,72.1,54.3,45.7,53.7,62.2,8.5,7.4,16.7,5.9,10.2,12.0,113.3,104.8,104.8,113.3,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,13,11,48,48,4,11,13,11,33,29,68,66,35,37,201710180SAS,2017-10-18,2018,0
11,PHO,POR,28,44,89,90,0.315,0.489,7,14,27,24,0.259,0.583,13,22,18,28,0.722,0.786,10,15,23,42,33,57,10,22,9,8,8,7,16,16,22,20,76,124,0.392,0.606,0.354,0.567,0.303,0.267,0.202,0.311,19.2,39.5,60.5,80.8,36.7,63.3,35.7,50.0,9.1,8.1,12.1,11.3,14.2,13.5,77.0,125.6,125.6,77.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,20,10,61,46,7,8,16,16,21,30,62,66,41,36,201710180PHO,2017-10-18,2018,0
12,SAC,HOU,42,33,88,83,0.477,0.398,8,12,23,45,0.348,0.267,8,27,10,29,0.8,0.931,9,12,33,32,42,44,19,19,5,7,4,3,17,14,20,14,100,105,0.541,0.548,0.523,0.47,0.261,0.542,0.114,0.349,22.0,26.7,73.3,78.0,48.8,51.2,45.2,57.6,5.2,7.3,10.5,4.6,15.5,12.8,103.9,109.1,109.1,103.9,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0,1,1,0,15,33,46,50,3,4,14,17,34,21,65,38,31,17,201710180SAC,2017-10-18,2018,0
13,TOR,CHI,39,37,83,89,0.47,0.416,13,10,29,32,0.448,0.313,26,16,28,18,0.929,0.889,13,10,36,29,49,39,26,22,10,7,4,2,17,19,19,23,117,100,0.614,0.516,0.548,0.472,0.349,0.36,0.337,0.202,31.0,21.7,78.3,69.0,55.7,44.3,66.7,59.5,10.0,7.0,7.0,3.7,15.1,16.4,117.2,100.1,100.1,117.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,16,22,44,52,2,4,19,17,26,27,54,57,28,30,201710190TOR,2017-10-19,2018,0
14,OKC,NYK,39,32,90,79,0.433,0.405,11,7,38,24,0.289,0.292,16,13,22,19,0.727,0.684,13,11,28,30,41,41,26,19,14,8,7,4,18,25,22,23,105,84,0.527,0.481,0.494,0.449,0.422,0.304,0.244,0.241,30.2,28.2,71.8,69.8,50.0,50.0,66.7,59.4,14.2,8.1,12.7,7.7,15.3,22.2,106.2,85.0,85.0,106.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,27,17,51,47,4,7,25,18,28,25,52,55,24,30,201710190OKC,2017-10-19,2018,0
15,LAL,LAC,37,42,91,107,0.407,0.393,4,12,16,33,0.25,0.364,14,12,23,13,0.609,0.923,12,17,40,42,52,59,21,23,8,12,7,3,19,14,15,20,92,108,0.455,0.479,0.429,0.449,0.176,0.308,0.253,0.121,22.2,29.8,70.2,77.8,46.8,53.2,56.8,54.8,7.6,11.3,9.5,4.0,15.8,11.0,86.9,102.0,102.0,86.9,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,12,21,54,65,3,7,14,19,33,30,75,74,42,44,201710190LAL,2017-10-19,2018,0
16,CHA,ATL,37,36,86,95,0.43,0.379,11,7,36,30,0.306,0.233,24,12,30,14,0.8,0.857,12,6,45,32,57,38,17,19,5,11,4,4,21,13,18,29,109,91,0.549,0.45,0.494,0.416,0.419,0.316,0.349,0.147,27.3,11.8,88.2,72.7,60.0,40.0,45.9,52.8,4.7,10.4,6.2,8.0,17.5,11.4,103.4,86.3,86.3,103.4,1.0,1.0,1.0,1.0,0.5,0.5,2.0,2.0,0,1,1,0,25,23,49,59,4,4,13,21,26,29,50,65,24,36,201710200CHO,2017-10-20,2018,0
17,IND,POR,35,46,78,95,0.449,0.484,4,9,18,19,0.222,0.474,22,13,33,17,0.667,0.765,6,11,33,40,39,51,15,19,1,5,4,6,12,9,17,26,96,114,0.519,0.556,0.474,0.532,0.231,0.2,0.423,0.179,13.0,25.0,75.0,87.0,43.3,56.7,42.9,41.3,1.0,5.1,5.3,10.0,11.5,8.1,98.5,117.0,117.0,98.5,1.0,2.0,1.0,0.0,0.5,1.0,2.0,2.0,1,0,0,1,14,10,43,49,6,4,9,12,31,37,60,76,29,39,201710200IND,2017-10-20,2018,0
18,MIL,CLE,38,44,82,81,0.463,0.543,11,11,35,26,0.314,0.423,10,17,12,17,0.833,1.0,8,9,22,35,30,44,23,25,9,8,2,3,14,17,17,11,97,116,0.556,0.656,0.53,0.611,0.427,0.321,0.146,0.21,18.6,29.0,71.0,81.4,40.5,59.5,60.5,56.8,9.7,8.6,3.6,6.4,13.8,16.1,104.7,125.2,125.2,104.7,1.0,2.0,1.0,0.0,0.5,1.0,2.0,2.0,1,0,0,1,24,15,44,37,3,2,17,14,27,33,47,55,20,22,201710200MIL,2017-10-20,2018,0
19,PHI,BOS,35,35,92,84,0.38,0.417,10,10,32,29,0.313,0.345,12,22,16,32,0.75,0.688,14,14,33,41,47,55,20,16,7,4,4,5,16,19,30,24,92,102,0.464,0.52,0.435,0.476,0.348,0.345,0.174,0.381,25.5,29.8,70.2,74.5,46.1,53.9,57.1,45.7,7.0,4.0,7.3,8.3,13.9,16.2,92.4,102.5,102.5,92.4,0.0,1.0,2.0,2.0,0.0,0.3333333333333333,2.0,3.0,1,0,0,1,22,19,57,49,5,4,19,16,25,25,60,55,35,30,201710200PHI,2017-10-20,2018,0
20,WAS,DET,40,43,75,87,0.533,0.494,6,10,17,23,0.353,0.435,29,15,35,20,0.829,0.75,7,10,30,23,37,33,25,19,12,12,7,1,16,19,18,32,115,111,0.636,0.579,0.573,0.552,0.227,0.264,0.467,0.23,23.3,25.0,75.0,76.7,52.9,47.1,62.5,44.2,12.1,12.1,10.9,1.7,15.0,16.6,115.9,111.8,111.8,115.9,2.0,1.0,0.0,1.0,1.0,0.5,2.0,2.0,1,0,0,1,11,13,35,44,1,7,19,16,34,33,58,64,24,31,201710200WAS,2017-10-20,2018,0
21,BRK,ORL,46,45,92,89,0.5,0.506,9,18,27,33,0.333,0.545,25,13,35,15,0.714,0.867,15,9,33,31,48,40,22,30,13,9,6,3,18,22,17,27,126,121,0.587,0.633,0.549,0.607,0.293,0.371,0.38,0.169,32.6,21.4,78.6,67.4,54.5,45.5,47.8,66.7,12.1,8.4,10.7,4.6,14.4,18.7,117.3,112.6,112.6,117.3,1.0,1.0,1.0,1.0,0.5,0.5,2.0,2.0,1,0,0,1,18,15,46,44,3,6,22,18,37,27,65,56,28,29,201710200BRK,2017-10-20,2018,0
22,MIN,UTA,36,37,81,77,0.444,0.481,7,9,22,22,0.318,0.409,21,14,26,17,0.808,0.824,10,7,34,31,44,38,17,23,11,10,2,8,15,19,17,21,100,97,0.541,0.574,0.488,0.539,0.272,0.286,0.321,0.221,24.4,17.1,82.9,75.6,53.7,46.3,47.2,62.2,11.6,10.5,3.6,13.6,14.0,18.4,105.2,102.0,102.0,105.2,1.0,1.0,1.0,1.0,0.5,0.5,2.0,2.0,0,1,1,0,15,13,45,40,8,2,19,15,29,28,59,55,30,27,201710200MIN,2017-10-20,2018,0
23,DAL,SAC,31,37,75,87,0.413,0.425,11,10,33,23,0.333,0.435,15,9,21,13,0.714,0.692,7,16,29,41,36,57,19,20,8,8,7,3,12,14,13,18,88,93,0.522,0.502,0.487,0.483,0.44,0.264,0.28,0.149,14.6,35.6,64.4,85.4,38.7,61.3,61.3,54.1,9.1,9.1,10.9,7.1,12.5,13.1,100.2,105.9,105.9,100.2,0.0,1.0,2.0,1.0,0.0,0.5,2.0,2.0,0,1,1,0,22,13,44,50,3,7,14,12,20,27,42,64,22,37,201710200DAL,2017-10-20,2018,0
24,NOP,GSW,45,47,98,92,0.459,0.511,16,18,36,41,0.444,0.439,14,16,22,20,0.636,0.8,16,10,35,39,51,49,26,29,8,6,4,8,17,18,19,23,120,128,0.557,0.635,0.541,0.609,0.367,0.446,0.224,0.217,29.1,22.2,77.8,70.9,51.0,49.0,57.8,61.7,7.5,5.6,7.8,12.9,13.6,15.2,111.8,119.3,119.3,111.8,0.0,1.0,2.0,1.0,0.0,0.5,2.0,2.0,0,1,1,0,20,23,53,45,8,4,18,17,29,29,62,51,33,22,201710200NOP,2017-10-20,2018,0
25,PHO,LAL,45,48,92,93,0.489,0.516,14,12,29,26,0.483,0.462,26,24,38,33,0.684,0.727,10,5,40,37,50,42,17,22,8,8,9,3,19,18,25,31,130,132,0.598,0.614,0.565,0.581,0.315,0.28,0.413,0.355,21.3,11.1,88.9,78.7,54.3,45.7,37.8,45.8,6.8,6.8,13.4,4.8,14.9,14.3,110.9,112.7,112.7,110.9,0.0,1.0,2.0,1.0,0.0,0.5,2.0,2.0,0,1,1,0,15,14,47,45,3,9,18,19,31,36,63,67,32,31,201710200PHO,2017-10-20,2018,0
26,TOR,PHI,42,32,89,82,0.472,0.39,13,8,44,24,0.295,0.333,31,22,37,36,0.838,0.611,8,8,43,33,51,41,23,18,5,5,10,4,13,20,29,26,128,94,0.608,0.48,0.545,0.439,0.494,0.293,0.416,0.439,19.5,15.7,84.3,80.5,55.4,44.6,54.8,56.3,4.7,4.7,17.2,8.9,11.0,17.0,119.1,87.4,87.4,119.1,2.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,0,1,1,0,31,16,47,50,4,10,20,13,29,24,45,58,16,34,201710210TOR,2017-10-21,2018,0
27,CHI,SAS,31,38,82,93,0.378,0.409,8,1,28,12,0.286,0.083,7,10,9,16,0.778,0.625,8,14,40,38,48,52,18,25,3,8,5,3,19,11,15,14,77,87,0.448,0.435,0.427,0.414,0.341,0.129,0.11,0.172,17.4,25.9,74.1,82.6,48.0,52.0,58.1,65.8,3.2,8.4,6.2,5.6,18.1,9.9,80.9,91.5,91.5,80.9,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0,1,1,0,20,11,51,55,3,5,11,19,23,37,54,81,31,44,201710210CHI,2017-10-21,2018,0
28,CLE,ORL,33,40,86,90,0.384,0.444,7,17,25,35,0.28,0.486,20,17,27,20,0.741,0.85,11,12,33,38,44,50,15,28,4,7,7,6,16,12,14,28,93,114,0.475,0.577,0.424,0.539,0.291,0.389,0.314,0.222,22.4,26.7,73.3,77.6,46.8,53.2,45.5,70.0,4.1,7.2,12.7,9.8,14.0,10.8,95.0,116.4,116.4,95.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,3.0,3.0,1,0,0,1,18,18,53,50,6,7,12,16,26,23,61,55,35,32,201710210CLE,2017-10-21,2018,0
29,HOU,DAL,39,31,82,84,0.476,0.369,11,13,47,31,0.234,0.419,18,16,22,21,0.818,0.762,8,8,46,33,54,41,17,19,12,6,4,0,13,14,24,19,107,91,0.584,0.488,0.543,0.446,0.573,0.369,0.268,0.25,19.5,14.8,85.2,80.5,56.8,43.2,43.6,61.3,12.4,6.2,7.5,0.0,12.4,13.1,111.0,94.4,94.4,111.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0,1,1,0,36,18,43,53,0,4,14,13,28,18,35,53,7,35,201710210HOU,2017-10-21,2018,0
30,MEM,GSW,36,33,77,84,0.468,0.393,10,12,27,38,0.37,0.316,29,23,37,27,0.784,0.852,6,12,34,34,40,46,20,20,8,10,4,7,14,17,25,28,111,101,0.595,0.527,0.532,0.464,0.351,0.452,0.481,0.321,15.0,26.1,73.9,85.0,46.5,53.5,55.6,60.6,8.1,10.2,8.7,14.0,13.0,15.1,112.8,102.7,102.7,112.8,2.0,1.0,0.0,2.0,1.0,0.3333333333333333,2.0,3.0,1,0,0,1,17,26,41,51,7,4,17,14,26,21,50,46,24,25,201710210MEM,2017-10-21,2018,0
31,MIA,IND,45,43,87,96,0.517,0.448,14,7,34,19,0.412,0.368,8,15,14,21,0.571,0.714,6,13,39,32,45,45,24,18,6,9,11,4,14,10,19,18,112,108,0.601,0.513,0.598,0.484,0.391,0.198,0.161,0.219,15.8,25.0,75.0,84.2,50.0,50.0,53.3,41.9,6.0,9.0,14.3,7.5,13.1,8.7,112.2,108.1,108.1,112.2,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,2.0,3.0,1,0,0,1,20,12,42,53,4,11,10,14,31,36,53,77,22,41,201710210MIA,2017-10-21,2018,0
32,NYK,DET,37,44,81,91,0.457,0.484,8,9,30,30,0.267,0.3,25,14,31,15,0.806,0.933,12,15,27,28,39,43,20,21,6,5,2,2,12,12,21,25,107,111,0.565,0.569,0.506,0.533,0.37,0.33,0.383,0.165,30.0,35.7,64.3,70.0,47.6,52.4,54.1,47.7,6.6,5.5,3.3,3.9,11.3,10.9,117.4,121.8,121.8,117.4,0.0,2.0,2.0,1.0,0.0,0.6666666666666666,2.0,3.0,0,1,1,0,22,21,44,47,2,2,12,12,29,35,51,61,22,26,201710210NYK,2017-10-21,2018,0
33,MIL,POR,42,34,80,81,0.525,0.42,7,11,18,28,0.389,0.393,22,31,30,35,0.733,0.886,7,13,28,29,35,42,22,18,9,10,8,6,14,16,23,22,113,110,0.606,0.571,0.569,0.488,0.225,0.346,0.375,0.432,19.4,31.7,68.3,80.6,45.5,54.5,52.4,52.9,9.3,10.4,15.1,9.7,13.1,14.2,117.0,113.9,113.9,117.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,3.0,3.0,1,0,0,1,11,17,38,47,6,8,16,14,35,23,62,53,27,30,201710210MIL,2017-10-21,2018,0
34,DEN,SAC,37,31,85,85,0.435,0.365,10,8,30,22,0.333,0.364,12,9,20,13,0.6,0.692,18,12,40,27,58,39,25,15,7,6,2,3,16,13,19,21,96,79,0.512,0.435,0.494,0.412,0.353,0.259,0.235,0.153,40.0,23.1,76.9,60.0,59.8,40.2,67.6,48.4,7.9,6.7,3.2,5.5,14.6,12.5,107.7,88.6,88.6,107.7,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,2.0,3.0,1,0,0,1,20,14,48,54,3,2,13,16,27,23,55,63,28,40,201710210DEN,2017-10-21,2018,0
35,UTA,OKC,38,32,77,78,0.494,0.41,9,11,29,33,0.31,0.333,11,12,14,19,0.786,0.632,7,8,34,30,41,38,22,15,11,14,4,4,18,17,21,16,96,87,0.577,0.504,0.552,0.481,0.377,0.423,0.182,0.244,18.9,19.0,81.0,81.1,51.9,48.1,57.9,46.9,11.8,15.1,8.9,8.3,17.8,16.4,103.3,93.6,93.6,103.3,2.0,1.0,1.0,1.0,0.6666666666666666,0.5,3.0,2.0,1,0,0,1,20,22,39,46,4,4,17,18,29,21,48,45,19,24,201710210UTA,2017-10-21,2018,0
36,LAC,PHO,48,27,88,71,0.545,0.38,12,6,26,24,0.462,0.25,22,28,30,38,0.733,0.737,10,4,42,32,52,36,26,19,12,8,2,3,12,19,32,27,130,88,0.642,0.502,0.614,0.423,0.295,0.338,0.341,0.535,23.8,8.7,91.3,76.2,59.1,40.9,54.2,70.4,11.8,7.9,4.3,4.8,10.6,17.8,128.1,86.7,86.7,128.1,2.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,0,1,1,0,14,18,40,44,3,2,19,12,36,21,62,47,26,26,201710210LAC,2017-10-21,2018,0
37,BRK,ATL,41,32,87,94,0.471,0.34,11,7,27,27,0.407,0.259,23,33,34,36,0.676,0.917,13,16,38,32,51,48,27,21,12,6,8,2,18,16,27,25,116,104,0.569,0.473,0.534,0.378,0.31,0.287,0.391,0.383,28.9,29.6,70.4,71.1,51.5,48.5,65.9,65.6,11.5,5.7,11.9,3.3,15.0,12.7,110.9,99.5,99.5,110.9,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,3.0,3.0,1,0,0,1,16,20,46,62,2,8,16,18,30,25,60,67,30,42,201710220BRK,2017-10-22,2018,0
38,OKC,MIN,46,43,96,86,0.479,0.5,11,10,31,25,0.355,0.4,10,19,16,23,0.625,0.826,9,10,27,35,36,45,26,25,9,5,6,1,11,17,22,17,113,115,0.548,0.598,0.536,0.558,0.323,0.291,0.167,0.267,20.5,27.0,73.0,79.5,44.4,55.6,56.5,58.1,8.9,4.9,9.8,1.5,9.6,15.0,111.8,113.7,113.7,111.8,1.0,2.0,2.0,1.0,0.3333333333333333,0.6666666666666666,3.0,3.0,0,1,1,0,20,15,50,43,1,6,17,11,35,33,65,61,30,28,201710220OKC,2017-10-22,2018,0
39,LAL,NOP,44,47,90,83,0.489,0.566,9,10,27,32,0.333,0.313,15,15,20,21,0.75,0.714,9,6,29,36,38,42,27,26,7,14,6,5,17,18,24,20,112,119,0.567,0.645,0.539,0.627,0.3,0.386,0.222,0.253,20.0,17.1,82.9,80.0,47.5,52.5,61.4,55.3,6.7,13.5,11.8,7.9,14.7,16.3,107.7,114.4,114.4,107.7,1.0,1.0,2.0,2.0,0.3333333333333333,0.3333333333333333,3.0,3.0,0,1,1,0,18,22,46,36,5,6,18,17,35,37,63,51,28,14,201710220LAL,2017-10-22,2018,0
40,DET,PHI,33,35,85,75,0.388,0.467,6,9,30,24,0.2,0.375,14,18,19,24,0.737,0.75,9,8,30,41,39,49,14,25,5,11,2,0,14,21,21,24,86,97,0.461,0.567,0.424,0.527,0.353,0.32,0.224,0.32,18.0,21.1,78.9,82.0,44.3,55.7,42.4,71.4,5.2,11.4,3.9,0.0,13.0,19.7,89.0,100.4,100.4,89.0,2.0,1.0,2.0,3.0,0.5,0.25,4.0,4.0,0,1,1,0,24,15,52,40,0,2,21,14,27,26,55,51,28,25,201710230DET,2017-10-23,2018,0
