,TEAM_HOME,TEAM_AWAY,FG_HOME,FG_AWAY,FGA_HOME,FGA_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG(3)_HOME,FG(3)_AWAY,FGA(3)_HOME,FGA(3)_AWAY,FG_PCT(3)_HOME,FG_PCT(3)_AWAY,FT_HOME,FT_AWAY,FTA_HOME,FTA_AWAY,FT_PCT_HOME,FT_PCT_AWAY,ORB_HOME,ORB_AWAY,DRB_HOME,DRB_AWAY,TRB_HOME,TRB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PTS_HOME,PTS_AWAY,TS_PCT_HOME,TS_PCT_AWAY,EFG_PCT_HOME,EFG_PCT_AWAY,3PA_R_HOME,3PA_R_AWAY,FT_R_HOME,FT_R_AWAY,ORB_PCT_HOME,ORB_PCT_AWAY,DRB_PCT_HOME,DRB_PCT_AWAY,TRB_PCT_HOME,TRB_PCT_AWAY,AST_PCT_HOME,AST_PCT_AWAY,STL_PCT_HOME,STL_PCT_AWAY,BLK_PCT_HOME,BLK_PCT_AWAY,TOV_PCT_HOME,TOV_PCT_AWAY,O_RTG_HOME,O_RTG_AWAY,D_RTG_HOME,D_RTG_AWAY,WINS_RECORD_HOME,WINS_RECORD_AWAY,LOSSES_RECORD_HOME,LOSSES_RECORD_AWAY,WIN_PCT_HOME,WIN_PCT_AWAY,GAME_NO_HOME,GAME_NO_AWAY,WIN_HOME,WIN_AWAY,LOSS_HOME,LOSS_AWAY,FG(3)_MISSED_HOME,FG(3)_MISSED_AWAY,FG_MISSED_HOME,FG_MISSED_AWAY,BLOCKED_ATTEMPTS_HOME,BLOCKED_ATTEMPTS_AWAY,TOV_FORCED_HOME,TOV_FORCED_AWAY,FG(2)_HOME,FG(2)_AWAY,FGA(2)_HOME,FGA(2)_AWAY,FG(2)_MISSED_HOME,FG(2)_MISSED_AWAY,GAMEID,DATE,SEASON,OTs
0,CLE,BOS,38,36,83,88,0.458,0.409,5,8,22,32,0.227,0.25,21,19,25,25,0.84,0.76,9,9,41,37,50,46,19,24,3,11,4,4,17,10,25,24,102,99,0.543,0.5,0.488,0.455,0.265,0.364,0.301,0.284,19.6,18.0,82.0,80.4,52.1,47.9,50.0,66.7,3.0,11.1,7.1,6.6,15.3,9.2,102.7,99.7,99.7,102.7,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,17,24,45,52,4,4,10,17,33,28,61,56,28,28,201710170CLE,2017-10-17,2018,0
1,GSW,HOU,43,47,80,97,0.538,0.485,16,15,30,41,0.533,0.366,19,13,21,19,0.905,0.684,6,10,35,33,41,43,34,28,5,9,9,5,17,12,25,16,121,122,0.678,0.579,0.638,0.562,0.375,0.423,0.263,0.196,15.4,22.2,77.8,84.6,48.8,51.2,79.1,59.6,4.9,8.8,16.1,10.0,16.0,10.2,118.6,119.6,119.6,118.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,1,0,14,26,37,50,5,9,12,17,27,32,50,56,23,24,201710170GSW,2017-10-17,2018,0
2,DET,CHA,41,29,96,73,0.427,0.397,9,9,26,30,0.346,0.3,11,23,12,29,0.917,0.793,9,3,38,44,47,47,24,16,14,4,3,3,8,17,21,15,102,90,0.504,0.525,0.474,0.459,0.271,0.411,0.125,0.397,17.0,7.3,92.7,83.0,50.0,50.0,58.5,55.2,14.2,4.1,7.0,4.3,7.3,16.5,103.6,91.4,91.4,103.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,17,21,55,44,3,3,17,8,32,20,70,43,38,23,201710180DET,2017-10-18,2018,0
3,IND,BRK,53,45,102,94,0.52,0.479,9,12,34,30,0.265,0.4,25,29,32,32,0.781,0.906,14,11,33,32,47,43,29,22,12,7,9,2,14,20,25,25,140,131,0.603,0.606,0.564,0.543,0.333,0.319,0.314,0.34,30.4,25.0,75.0,69.6,52.2,47.8,54.7,48.9,10.6,6.2,14.1,2.9,10.8,15.6,123.6,115.7,115.7,123.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,25,18,49,49,2,9,20,14,44,33,68,64,24,31,201710180IND,2017-10-18,2018,0
4,ORL,MIA,43,44,90,101,0.478,0.436,8,8,21,30,0.381,0.267,22,13,29,17,0.759,0.765,11,11,39,33,50,44,22,27,8,6,9,4,14,13,18,20,116,109,0.564,0.502,0.522,0.475,0.233,0.297,0.322,0.168,25.0,22.0,78.0,75.0,53.2,46.8,51.2,61.4,7.6,5.7,12.7,5.8,12.0,10.7,110.3,103.6,103.6,110.3,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,13,22,47,57,4,9,13,14,35,36,69,71,34,35,201710180ORL,2017-10-18,2018,0
5,WAS,PHI,42,43,97,93,0.433,0.462,6,15,22,35,0.273,0.429,30,14,38,19,0.789,0.737,16,11,36,37,52,48,21,25,8,6,10,6,9,17,20,28,120,115,0.528,0.567,0.464,0.543,0.227,0.376,0.392,0.204,30.2,23.4,76.6,69.8,52.0,48.0,50.0,58.1,7.7,5.8,17.2,8.0,7.3,14.4,115.1,110.3,110.3,115.1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,16,20,55,50,6,10,17,9,36,28,75,58,39,30,201710180WAS,2017-10-18,2018,0
6,BOS,MIL,39,38,91,76,0.429,0.5,11,7,28,21,0.393,0.333,11,25,21,30,0.524,0.833,11,6,32,39,43,45,23,19,12,6,2,4,12,15,27,22,100,108,0.499,0.605,0.489,0.546,0.308,0.276,0.231,0.395,22.0,15.8,84.2,78.0,48.9,51.1,59.0,50.0,12.3,6.1,3.6,6.3,10.7,14.4,102.2,110.4,110.4,102.2,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0,1,1,0,17,14,52,38,4,2,15,12,28,31,63,55,35,24,201710180BOS,2017-10-18,2018,0
7,MEM,NOP,39,30,92,79,0.424,0.38,9,7,29,25,0.31,0.28,16,24,28,29,0.571,0.828,15,16,30,35,45,51,19,15,9,4,8,12,11,17,29,31,103,91,0.494,0.496,0.473,0.424,0.315,0.316,0.304,0.367,30.0,34.8,65.2,70.0,46.9,53.1,48.7,50.0,9.6,4.3,14.8,19.0,9.5,15.6,110.4,97.6,97.6,110.4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,20,18,53,49,12,8,17,11,30,23,63,54,33,31,201710180MEM,2017-10-18,2018,0
8,DAL,ATL,38,48,86,94,0.442,0.511,17,9,45,18,0.378,0.5,18,12,21,15,0.857,0.8,9,14,32,36,41,50,27,20,5,11,4,6,15,13,19,18,111,117,0.583,0.582,0.541,0.559,0.523,0.191,0.244,0.16,20.0,30.4,69.6,80.0,45.1,54.9,71.1,41.7,5.1,11.2,5.3,14.6,13.6,11.4,112.6,118.7,118.7,112.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,1,0,28,9,48,46,6,4,13,15,21,39,41,76,20,37,201710180DAL,2017-10-18,2018,0
9,UTA,DEN,41,36,81,77,0.506,0.468,9,13,24,27,0.375,0.481,15,11,16,12,0.938,0.917,6,7,30,31,36,38,28,21,9,4,5,3,15,20,18,18,106,96,0.602,0.583,0.562,0.552,0.296,0.351,0.198,0.156,16.2,18.9,81.1,83.8,48.6,51.4,68.3,58.3,9.5,4.2,10.0,5.3,14.6,19.6,112.2,101.6,101.6,112.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,15,14,40,41,3,5,20,15,32,23,57,50,25,27,201710180UTA,2017-10-18,2018,0
